t,mx,my,mz,mqx,mqy,mqz,mqw,m_error,ex,ey,ez,eqx,eqy,eqz,eqw,vx,vy,vz,ax,ay,az,sx,sy,sz,p,q,r,m1,m2,m3,m4,vbat,armed,flying,tumbled,locked,crashed,agent_id
1775761476.2698998,-0.2143496423959732,-1.8240665197372437,0.7807775735855103,0.025974290445446968,-0.007483270950615406,-0.5082269310951233,-0.8607990145683289,0.0006114155403338373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.2698998,-0.12967561185359955,-0.019775522872805595,1.0442441701889038,0.004082104656845331,-0.0013427728554233909,0.434173583984375,-0.9008190631866455,7.020689372438937e-05,-0.129,-0.019,1.044,-0.001383770608975631,0.0,-0.4345039712183481,0.9006688537827799,0.005,0.012,-0.023,0.126,-0.601,9.704,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,0.039,0.032,0.007,0.6575570305943389,0.7896391241321431,0.6929579613946746,0.7635309376668955,3.383,True,True,False,False,False,CF_2
1775761476.296129,-0.2143513560295105,-1.824089527130127,0.7807686924934387,0.025993945077061653,-0.007593848276883364,-0.508145809173584,-0.8608453273773193,0.0006124642677605152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.296129,-0.12968498468399048,-0.019742265343666077,1.0438683032989502,0.004115247633308172,-0.001168008428066969,0.4340490996837616,-0.9008790254592896,8.574924868298694e-05,-0.129,-0.019,1.043,-0.001383770608975631,-0.0,-0.4345039712183481,0.9006688537827799,0.005,0.012,-0.023,0.126,-0.601,9.704,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,0.039,0.032,0.007,0.6575570305943389,0.7896391241321431,0.6929579613946746,0.7635309376668955,3.383,True,True,False,False,False,CF_2
1775761476.3113916,-0.21434208750724792,-1.8240766525268555,0.7807711958885193,0.026046941056847572,-0.007547895889729261,-0.5082082748413086,-0.8608071208000183,0.0006151491543278098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.3113916,-0.12967750430107117,-0.019717460498213768,1.0436325073242188,0.004095724318176508,-0.0012874319218099117,0.4339483082294464,-0.9009276032447815,9.103945922106504e-05,-0.129,-0.019,1.043,-0.001383770608975631,0.0,-0.4345039712183481,0.9006688537827799,0.005,0.012,-0.023,0.126,-0.601,9.704,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,0.039,0.032,0.007,0.6575570305943389,0.7896391241321431,0.6929579613946746,0.7635309376668955,3.383,True,True,False,False,False,CF_2
1775761476.3279245,-0.2143440693616867,-1.8240768909454346,0.7807745933532715,0.0259605310857296,-0.007585011422634125,-0.5081548094749451,-0.8608409762382507,0.0006117575103417039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.3279245,-0.12968222796916962,-0.01967940479516983,1.04340398311615,0.0042626820504665375,-0.0015253880992531776,0.43382641673088074,-0.9009851813316345,9.526229405310005e-05,-0.129,-0.019,1.043,-0.001383770608975631,0.0,-0.4345039712183481,0.9006688537827799,0.006,0.012,-0.014,-0.31,0.001,9.975,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,-0.013,0.012,0.012,0.6542305638208591,0.7773708705271992,0.6908064393072404,0.7721370260166324,3.383,True,True,False,False,False,CF_2
1775761476.3364499,-0.214349165558815,-1.8240923881530762,0.7807588577270508,0.02604074403643608,-0.007442978210747242,-0.5081973075866699,-0.8608147501945496,0.0006175353191792965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
191807,-0.12966099381446838,-0.019674932584166527,1.043268084526062,0.004014899954199791,-0.0012679664650931954,0.4337015748023987,-0.9010468125343323,8.230454113800079e-05,-0.129,-0.019,1.043,-0.002767541217951262,0.0,-0.4345039712183481,0.900665664778608,0.006,0.012,-0.014,-0.31,0.001,9.975,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,-0.013,0.012,0.012,0.6542305638208591,0.7773708705271992,0.6908064393072404,0.7721370260166324,3.383,True,True,False,False,False,CF_2
1775761476.3530593,-0.21434758603572845,-1.8240952491760254,0.780755341053009,0.0260211993008852,-0.0076149324886500835,-0.5081328749656677,-0.8608519434928894,0.0006132082780823112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.3530593,-0.1296597272157669,-0.019650189206004143,1.0430608987808228,0.004067609086632729,-0.001060380833223462,0.4336290657520294,-0.9010817408561707,8.322104986291379e-05,-0.129,-0.019,1.043,-0.002767541217951262,0.0,-0.4345039712183481,0.900665664778608,0.006,0.012,-0.014,-0.31,0.001,9.975,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,-0.013,0.012,0.012,0.6542305638208591,0.7773708705271992,0.6908064393072404,0.7721370260166324,3.383,True,True,False,False,False,CF_2
1775761476.3696418,-0.2143494039773941,-1.824082612991333,0.7807550430297852,0.025977307930588722,-0.007655308581888676,-0.5081294178962708,-0.860854983329773,0.0006113221170380712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
191835,-0.1296638548374176,-0.019628869369626045,1.0428473949432373,0.004148359876126051,-0.0008998314151540399,0.43362531065940857,-0.9010833501815796,8.804223034530878e-05,-0.129,-0.019,1.043,-0.002767541217951262,0.0,-0.4345039712183481,0.900665664778608,0.006,0.012,-0.006,-0.113,0.497,9.442,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,-0.002,0.003,0.003,0.6478675516899367,0.7869535362783245,0.6926222629129473,0.7596551461051346,3.383,True,True,False,False,False,CF_2
1775761476.386924,-0.21434563398361206,-1.8240705728530884,0.780777096748352,0.025996848940849304,-0.00753402803093195,-0.508202314376831,-0.8608123660087585,0.0006120733451098204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.386924,-0.12966997921466827,-0.019602542743086815,1.0426276922225952,0.00429839501157403,-0.0007863351493142545,0.4335661232471466,-0.9011111855506897,8.43992384034209e-05,-0.129,-0.019,1.043,-0.002767541217951262,0.0,-0.4345039712183481,0.900665664778608,0.006,0.012,-0.006,-0.113,0.497,9.442,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,-0.002,0.003,0.003,0.6478675516899367,0.7869535362783245,0.6926222629129473,0.7596551461051346,3.383,True,True,False,False,False,CF_2
1775761476.4046419,-0.21435657143592834,-1.8240352869033813,0.7807930707931519,0.02600560151040554,-0.007742193527519703,-0.5083034634590149,-0.8607504367828369,0.0006115499418228865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.4046419,-0.12966345250606537,-0.019567005336284637,1.0423766374588013,0.004341631196439266,-0.0006195519817993045,0.4335414171218872,-0.9011229872703552,8.561325375922024e-05,-0.129,-0.019,1.043,-0.002767541217951262,0.0,-0.4345039712183481,0.900665664778608,0.006,0.012,-0.006,-0.113,0.497,9.442,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,-0.002,0.003,0.003,0.6478675516899367,0.7869535362783245,0.6926222629129473,0.7596551461051346,3.383,True,True,False,False,False,CF_2
1775761476.4126418,-0.2143484354019165,-1.8240885734558105,0.780764102935791,0.02589675411581993,-0.007538521196693182,-0.5081668496131897,-0.8608362674713135,0.0006117011653259397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
191878,-0.12964607775211334,-0.019544370472431183,1.0421735048294067,0.004881463944911957,-0.0006761358235962689,0.43375614285469055,-0.9010168313980103,6.818278779974207e-05,-0.129,-0.019,1.042,-0.002767541217951262,0.0,-0.4345039712183481,0.900665664778608,0.006,0.012,-0.024,0.12,0.208,9.451,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,0.006,0.013,0.0,0.6478675516899367,0.7869535362783245,0.6926222629129473,0.7596551461051346,3.383,True,True,False,False,False,CF_2
1775761476.4356828,-0.2143414318561554,-1.824080467224121,0.7807711362838745,0.025975679978728294,-0.007531591225415468,-0.5081527233123779,-0.8608422875404358,0.000612210831604898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,CF_1
1775761476.4356828,-0.12965166568756104,-0.01951000466942787,1.0417743921279907,0.004521150141954422,-0.0006705991690978408,0.43378138542175293,-0.9010065793991089,6.852700607851148e-05,-0.129,-0.019,1.042,-0.001383770608975631,0.0,-0.4345039712183481,0.9006688537827799,0.006,0.012,-0.024,0.12,0.208,9.451,-0.12484294176101685,-0.009754374623298645,1.0000040531158447,0.006,0.013,0.0,0.6614328221560998,0.7882505531395437,0.6857709620813306,0.7645227740901808,3.383,True,True,False,False,False,CF_2
