t,mx,my,mz,mqx,mqy,mqz,mqw,m_error,ex,ey,ez,eqx,eqy,eqz,eqw,vx,vy,vz,ax,ay,az,sx,sy,sz,p,q,r,m1,m2,m3,m4,vbat,armed,flying,tumbled,locked,crashed,agent_id
239614,0.21795709431171417,-0.06848446279764175,0.018013756722211838,0.005612077657133341,-0.010519368574023247,0.8602249622344971,-0.5097754597663879,0.00041280617006123066,0.219,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.011,-0.016,0.124,0.049,9.691,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.7637737,-0.23878833651542664,-0.10856214910745621,0.016489755362272263,0.007158350665122271,0.0011922470293939114,-0.9601540565490723,-0.2793770432472229,0.00014775755698792636,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.012,0.0,-0.017,-0.053,-0.002,9.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239632,0.21795450150966644,-0.06848354637622833,0.018013406544923782,0.005615096539258957,-0.010604817420244217,0.860201895236969,-0.5098124742507935,0.00041238803532905877,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.011,-0.016,0.124,0.049,9.691,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234675,-0.23878908157348633,-0.10855399072170258,0.01647096313536167,0.0072218128480017185,0.0012445689644664526,-0.9601497054100037,-0.2793901264667511,0.0001487291738158092,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.012,0.0,-0.016,-0.049,-0.016,9.678,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.7985878,0.21796275675296783,-0.06847891211509705,0.018017489463090897,0.005551377777010202,-0.01057470217347145,0.8601319789886475,-0.5099318027496338,0.00041356272413395345,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.011,-0.016,0.124,0.049,9.691,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.7985878,-0.2388036549091339,-0.10854597389698029,0.01645219326019287,0.0070547848008573055,0.0010560830123722553,-0.9601742029190063,-0.27931103110313416,0.00014137188554741442,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.012,0.0,-0.016,-0.049,-0.016,9.678,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239664,0.21794264018535614,-0.06848195940256119,0.01799490489065647,0.005339789669960737,-0.01064832229167223,0.8602314591407776,-0.5097647309303284,0.00040629488648846745,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.033,0.011,-0.017,0.127,0.056,9.696,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.8127627,-0.2388075739145279,-0.10854741185903549,0.016474202275276184,0.0070525784976780415,0.001003505545668304,-0.9601805806159973,-0.2792896628379822,0.00014766560343559831,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.012,0.0,-0.016,-0.049,-0.016,9.678,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.829491,0.2179410606622696,-0.06848116964101791,0.01798611506819725,0.005188025999814272,-0.01069015171378851,0.8602524995803833,-0.50972980260849,0.0004053592274431139,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.033,0.011,-0.017,0.127,0.056,9.696,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.829491,-0.238801047205925,-0.10854402184486389,0.01646263524889946,0.007073593325912952,0.00132590567227453,-0.9601553678512573,-0.27937451004981995,0.000149024766869843,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.012,0.0,-0.016,-0.049,-0.016,9.678,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
