t,mx,my,mz,mqx,mqy,mqz,mqw,m_error,ex,ey,ez,eqx,eqy,eqz,eqw,vx,vy,vz,ax,ay,az,sx,sy,sz,p,q,r,m1,m2,m3,m4,vbat,armed,flying,tumbled,locked,crashed,agent_id
1776181428.921489,-0.0854812040925026,0.04190817102789879,1.0228630304336548,-0.004248559474945068,0.002360326237976551,-0.4557683765888214,-0.8900851607322693,0.000701810116879642,-0.085,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.45526053035298264,0.8903528937433908,-0.003,-0.014,-0.004,-0.278,0.024,9.484,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.053,-0.051,0.037,0.6879224841687648,0.8080109864957656,0.701731898985275,0.8280155642023346,3.241,True,True,False,False,False,CF_2
31475,-0.0856066420674324,0.041895195841789246,1.0227634906768799,-0.004395199939608574,0.002061771461740136,-0.45618972182273865,-0.8898693919181824,0.0006999940960668027,-0.085,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.45664430096195824,0.8896439783944323,-0.003,-0.014,-0.004,-0.278,0.024,9.484,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.053,-0.051,0.037,0.6879224841687648,0.8080109864957656,0.701731898985275,0.8280155642023346,3.241,True,True,False,False,False,CF_2
1776181428.9551642,-0.08575217425823212,0.041903965175151825,1.0226191282272339,-0.004208983853459358,0.002257587853819132,-0.4562894105911255,-0.8898186087608337,0.000707500905264169,-0.085,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.45664430096195824,0.8896439783944323,-0.003,-0.014,-0.004,-0.278,0.024,9.484,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.053,-0.051,0.037,0.6879224841687648,0.8080109864957656,0.701731898985275,0.8280155642023346,3.241,True,True,False,False,False,CF_2
31499,-0.08583703637123108,0.04189945012331009,1.0224822759628296,-0.003076612949371338,0.001179662998765707,-0.45652735233306885,-0.8897032737731934,0.0006980549660511315,-0.085,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.45664430096195824,0.8896439783944323,-0.004,-0.013,-0.016,0.162,-0.569,10.485,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.012,-0.017,0.041,0.6884412909132525,0.8317235065232319,0.7097428854810407,0.8085908293278401,3.241,True,True,False,False,False,CF_2
31505,-0.0859765112400055,0.04190266132354736,1.0223151445388794,-0.002855063648894429,0.0008419256191700697,-0.4566512703895569,-0.8896408081054688,0.0006901690503582358,-0.085,0.041,1.022,0.001383770608975631,-0.001383770608975631,0.45664430096195824,0.8896472069066299,-0.004,-0.013,-0.016,0.162,-0.569,10.485,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.012,-0.017,0.041,0.6884412909132525,0.8317235065232319,0.7097428854810407,0.8085908293278401,3.241,True,True,False,False,False,CF_2
31535,-0.08611555397510529,0.04196157678961754,1.0222399234771729,-0.0028843218460679054,0.0012794607318937778,-0.45670273900032043,-0.8896138668060303,0.0006895391852594912,-0.085,0.041,1.022,0.001383770608975631,-0.0,0.45664430096195824,0.8896482830747588,-0.004,-0.013,-0.016,0.162,-0.569,10.485,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.012,-0.017,0.041,0.6884412909132525,0.8317235065232319,0.7097428854810407,0.8085908293278401,3.241,True,True,False,False,False,CF_2
1776181429.0132897,-0.0862526223063469,0.041992396116256714,1.0221275091171265,-0.0027856521774083376,0.0013527434784919024,-0.45689061284065247,-0.8895174860954285,0.0006978383171372116,-0.085,0.041,1.022,0.001383770608975631,-0.0,0.45664430096195824,0.8896482830747588,-0.004,-0.013,-0.016,0.162,-0.569,10.485,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.012,-0.017,0.041,0.6884412909132525,0.8317235065232319,0.7097428854810407,0.8085908293278401,3.241,True,True,False,False,False,CF_2
1776181429.029422,-0.08639967441558838,0.04203338548541069,1.0220444202423096,-0.002969935070723295,0.0016728133196011186,-0.457071453332901,-0.8894234299659729,0.0007015165174379945,-0.086,0.041,1.022,0.0,-0.0,0.4580280715709339,0.8889377287825123,-0.005,-0.013,-0.004,0.059,-0.302,9.964,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.036,-0.03,0.031,0.6808117799649043,0.8140993362325475,0.7109941252765698,0.8225070572976272,3.241,True,True,False,False,False,CF_2
1776181429.0460405,-0.08653981983661652,0.04208919405937195,1.0219626426696777,-0.0029854155145585537,0.0020849183201789856,-0.4574265778064728,-0.8892399668693542,0.0007057086913846433,-0.086,0.041,1.022,0.0,-0.0,0.4580280715709339,0.8889377287825123,-0.005,-0.013,-0.004,0.059,-0.302,9.964,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.036,-0.03,0.031,0.6808117799649043,0.8140993362325475,0.7109941252765698,0.8225070572976272,3.241,True,True,False,False,False,CF_2
31599,-0.08675332367420197,0.04213028773665428,1.0217370986938477,-0.0023203296586871147,0.0017241038149222732,-0.45768529176712036,-0.8891096711158752,0.0006965208449400961,-0.086,0.041,1.021,0.0,-0.001383770608975631,0.4580280715709339,0.8889366517541692,-0.006,-0.011,-0.003,-0.151,0.078,9.603,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.011,0.007,0.051,0.6915693904020752,0.8162050812542916,0.7022964827954528,0.8158388647287709,3.241,True,True,False,False,False,CF_2
1776181429.070988,-0.08684517443180084,0.042198579758405685,1.0217318534851074,-0.00192743178922683,0.0013415762223303318,-0.4578995108604431,-0.8890008926391602,0.0007029457483440638,-0.086,0.041,1.021,0.0,-0.001383770608975631,0.4580280715709339,0.8889366517541692,-0.006,-0.011,-0.003,-0.151,0.078,9.603,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.011,0.007,0.051,0.6915693904020752,0.8162050812542916,0.7022964827954528,0.8158388647287709,3.241,True,True,False,False,False,CF_2
31625,-0.08704949915409088,0.04230722412467003,1.0215904712677002,-0.0019177687354385853,0.002030491130426526,-0.45863088965415955,-0.888622522354126,0.0007058834889903665,-0.086,0.041,1.021,0.0,-0.001383770608975631,0.4580280715709339,0.8889366517541692,-0.006,-0.011,-0.003,-0.151,0.078,9.603,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.011,0.007,0.051,0.6915693904020752,0.8162050812542916,0.7022964827954528,0.8158388647287709,3.241,True,True,False,False,False,CF_2
